path,loc_approx,class_count,function_count,async_function_count,import_count,internal_import_count,entry_point_markers,config_reads,file_io_hits,subprocess_usage,network_usage,top_level_execution,test_reference_count,parse_status,syntax_error
scripts/research/qualify_weekly_sweep.py,248,0,9,0,21,0,"[""__main__"", ""function:main""]",0,1,1,0,True,0,OK,
scripts/research/qualify_zone_topk.py,375,2,17,0,28,3,"[""__main__"", ""function:main""]",2,1,1,0,True,0,OK,
scripts/research/rr_shadow_value.py,220,0,6,0,9,4,"[""__main__"", ""function:main""]",1,4,0,0,True,0,OK,
scripts/research/transition_information.py,188,0,6,0,14,1,"[""__main__"", ""function:main""]",0,0,1,0,True,0,OK,
scripts/research/verify_m5_resample_parity.py,105,0,3,0,7,1,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/research/zone_label_audit.py,112,0,1,0,10,1,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/tmp_cert_worktrees.py,98,0,4,0,4,0,"[""__main__"", ""function:main""]",0,0,0,0,False,0,OK,
scripts/training/auto_tuner.py,684,4,30,0,17,5,"[""__main__"", ""function:main"", ""function:run""]",3,4,0,0,True,0,OK,
scripts/training/auto_tuner_gemini_gate.py,420,3,30,0,18,5,"[""__main__"", ""function:main"", ""function:run""]",2,3,0,0,True,0,OK,
scripts/training/auto_tuner_multi.py,695,4,33,0,21,4,"[""__main__"", ""function:main"", ""function:run""]",3,3,0,0,True,3,OK,
scripts/training/build_stage1_dataset.py,37,0,0,0,4,0,"[""__main__""]",0,0,0,0,True,0,OK,
scripts/training/phase5_calibration.py,1395,2,28,0,24,5,"[""__main__"", ""function:main""]",0,4,0,0,True,2,OK,
scripts/training/train_bitnet.py,251,0,9,0,11,1,"[""__main__"", ""function:main""]",0,1,0,0,True,0,OK,
scripts/training/train_pipeline.py,111,0,2,0,9,0,"[""__main__""]",0,0,0,0,True,2,OK,
scripts/training/train_rr_model.py,143,0,1,0,10,3,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/training/train_trade_net_v2.py,454,2,22,0,19,4,"[""__main__"", ""function:main""]",1,1,0,0,True,1,OK,
scripts/update_config_hash.py,55,0,3,0,5,0,"[""__main__""]",0,2,0,0,False,0,OK,
scripts/validate_integration.py,379,7,11,0,24,9,"[""function:run""]",0,2,1,0,True,0,OK,
src/__init__.py,0,0,0,0,0,0,[],0,0,0,0,False,17,OK,
src/agent/__init__.py,2,0,0,0,1,0,[],0,0,0,0,False,17,OK,
src/agent/agent_core.py,178,1,8,0,12,1,[],5,0,0,0,False,0,OK,
src/agent/audit.py,110,1,6,0,7,0,[],0,1,0,0,False,23,OK,
src/agent/cli.py,81,0,2,0,9,1,"[""__main__"", ""function:main""]",4,0,0,0,True,2,OK,
src/agent/executor.py,146,2,5,0,8,0,[],0,0,0,0,False,4,OK,
src/agent/findings_synthesizer.py,271,0,12,0,10,1,[],1,4,0,0,False,0,OK,
src/agent/groq_client.py,213,1,11,0,12,1,[],17,1,0,3,True,0,OK,
src/agent/intent_router.py,104,1,5,0,8,1,[],0,1,0,0,False,1,OK,
src/agent/log_query.py,267,0,7,0,5,0,[],0,2,0,0,False,0,OK,
src/agent/modes/__init__.py,6,0,0,0,1,0,[],0,0,0,0,False,17,OK,
src/agent/modes/copilot_mode.py,199,0,7,0,13,6,[],4,1,0,0,False,0,OK,
src/agent/modes/findings_mode.py,48,0,3,0,4,0,[],0,0,0,0,False,0,OK,
src/agent/modes/governance_mode.py,154,0,6,0,9,0,[],0,2,0,0,False,0,OK,
src/agent/modes/log_query_mode.py,75,0,3,0,5,0,[],0,0,0,0,True,0,OK,
src/agent/modes/pipeline_mode.py,161,0,6,0,13,4,[],2,3,1,0,False,0,OK,
src/agent/plan_compiler.py,121,3,4,0,3,0,[],0,0,0,0,False,1,OK,
src/agent/state.py,80,2,6,0,6,0,[],0,2,0,0,False,46,OK,
src/agent/tool_planner.py,94,1,3,0,5,0,[],0,0,0,0,False,0,OK,
src/agent/tool_registry.py,62,1,4,0,4,0,[],0,0,0,0,False,2,OK,
src/analytics/__init__.py,1,0,0,0,0,0,[],0,0,0,0,False,17,OK,
src/analytics/clustering.py,59,1,3,0,1,0,[],0,0,0,0,False,1,OK,
src/analytics/metrics_oracle.py,222,1,24,0,2,0,[],0,0,0,0,False,4,OK,
src/analytics/performance.py,81,1,5,0,2,0,[],0,0,0,0,False,2,OK,
src/analytics/sl_tp_comparator.py,533,2,16,0,15,3,"[""__main__""]",6,3,0,0,True,1,OK,
src/bitnet/__init__.py,44,0,0,0,5,1,[],0,0,0,0,True,17,OK,
src/bitnet/_smoke_test.py,121,0,7,0,9,1,"[""__main__""]",0,1,0,0,True,0,OK,
src/bitnet/bitnet_inference.py,249,1,10,0,7,2,[],0,1,0,0,True,1,OK,
src/bitnet/bitnet_runner.py,181,1,5,0,9,2,[],1,0,0,0,True,0,OK,
src/bitnet/forward_tester.py,174,1,5,0,6,0,[],0,1,0,0,False,0,OK,
src/bitnet/model_contract.py,195,0,4,0,6,2,[],0,0,0,0,True,0,OK,
src/bitnet/stability_checker.py,114,1,2,0,4,0,[],0,0,0,0,False,0,OK,
src/bitnet/zone_cosine_searcher.py,388,3,16,0,8,2,[],0,2,0,0,True,0,OK,
src/bitnet/zone_validator.py,85,1,3,0,2,0,[],0,0,0,0,False,0,OK,
