"File","LOC"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\features\feature_schema.py","195"
".\.claude\worktrees\wizardly-neumann-923c0e\evaluator.py","195"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\training\evaluator.py","195"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\production_config.py","194"
".\src\agent\modes\copilot_mode.py","191"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\modes\copilot_mode.py","191"
".\_fm026_cert_probe.py","189"
".\.claude\worktrees\compassionate-poincare-90f891\fusion_engine.py","187"
".\src\core\regime_governor.py","186"
".\H-SECONDLOW-002_Complete_Package\scripts\research\run_h_secondlow_004_prospective_update_student_t.py","186"
".\src\governance\orchestrator.py","185"
".\scripts\research\accepted_trade_attribution.py","185"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\governance\orchestrator.py","185"
".\src\config_layer\llm_narrative.py","184"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\heuristic_gaussian_engine.py","184"
".\src\engines\tradenet_meta_engine.py","183"
".\src\agent\log_query.py","182"
".\src\strategies\s09_pattern_recog.py","182"
".\src\agent\groq_client.py","182"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s09_pattern_recog.py","182"
".\H-SECONDLOW-002_Complete_Package\scripts\research\run_h_secondlow_004_prospective_update.py","182"
".\docs\reference\example-service.py","181"
".\src\utils\logging_config.py","181"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\docs\EXAMPLE_SERVICE.py","181"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_purged_kfold_worked_example.py","181"
".\src\llm_research\forward_tester.py","180"
".\src\features\fm_resolve.py","178"
".\results\baseline\_p6_recon.py","178"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\rr\rr_fusion.py","178"
".\src\replay\replay_drift_governor.py","177"
".\.claude\worktrees\wizardly-neumann-923c0e\test_auto_tuner_multi.py","177"
".\src\config_layer\rr\rr_fusion.py","175"
".\scripts\research\qualify_regime_conditioning.py","175"
".\scripts\governance\seed_hypothesis_registry.py","175"
".\src\core\convergence_controller.py","173"
".\src\engines\scoring_engine.py","173"
".\scripts\research\transition_information.py","173"
".\scripts\analysis\gate_contribution_audit.py","173"
".\scripts\research\qualify_m5_straddle.py","173"
".\.claude\worktrees\wizardly-neumann-923c0e\scoring_engine.py","172"
".\.claude\worktrees\wizardly-neumann-923c0e\rr_dataset_builder.py","172"
".\src\features\feature_monitor.py","171"
".\src\core\collector.py","171"
".\src\uat\monte_carlo.py","171"
".\src\replay\replay_similarity_index.py","171"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\uat\monte_carlo.py","171"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\collector.py","171"
".\scripts\research\bnbusdt_enrich_trades.py","171"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\production_config.py","171"
".\src\multi_llm\turn_ledger.py","170"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\scoring_engine.py","170"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\engines\scoring_engine.py","170"
".\scripts\research\qualify_fx_metals.py","169"
".\scripts\research\qualify_interpreter.py","169"
".\scripts\research\qualify_majors.py","169"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\features\feature_schema.py","169"
".\scripts\data\fetch_forex_yfinance.py","169"
".\scripts\governance\construction_protocol.py","169"
".\src\research\qualification.py","168"
".\src\utils\zone_schema_migrator.py","168"
".\scripts\research\phase_s_selection_effect.py","168"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\features\feature_monitor.py","168"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\utils\zone_schema_migrator.py","168"
".\src\research\secondlow_v1\detector.py","167"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\ultron_gate.py","166"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\regime_governor.py","166"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\control_plane\dot_graph_context.py","166"
".\src\features\feature_identity.py","165"
".\src\agent\agent_core.py","165"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\agent_core.py","165"
".\src\bitnet\bitnet_inference.py","164"
".\mt5_analytics\engines\position_reconstructor.py","164"
".\.claude\worktrees\elegant-dubinsky-a2b441\mt5_analytics\engines\position_reconstructor.py","164"
".\src\research\cli.py","163"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\collector.py","163"
".\src\governance\multi_strategy_validator.py","162"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\governance\multi_strategy_validator.py","162"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\decision_engine.py","161"
".\scripts\analysis\early_invalidation_exectrade_ab.py","160"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\ultron_risk_gate.py","160"
".\scripts\governance\seed_framework_registry.py","159"
".\src\analytics\metrics_oracle.py","159"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\rr\rr_fusion.py","159"
".\H-SECONDLOW-002_Complete_Package\scripts\research\secondlow_r3_lookback_count_diagnostic.py","159"
".\scripts\governance\feature_certification_state.py","158"
".\.claude\worktrees\sad-poitras-df32c8\src\inout\hummingbot_candle_fetcher.py","158"
".\src\engines\zone_gate_engine.py","157"
".\src\replay\timing_reconstructor.py","157"
".\scripts\analysis\p1_sweep_memory_diag.py","157"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\analysis\p1_sweep_memory_diag.py","157"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\features\feature_monitor.py","157"
".\src\research\conditional_entropy_grid.py","156"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\engines\zone_gate_engine.py","156"
".\src\utils\engine_telemetry.py","155"
".\src\features\dataset_validator.py","155"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\features\dataset_validator.py","155"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\engines\zone_gate_engine.py","154"
".\src\training\training_trigger.py","153"
".\src\research\candle_state\encoder.py","152"
".\src\strategies\s08_ml_ensemble.py","152"
".\src\utils\trade_logger.py","152"
".\src\bitnet\model_contract.py","152"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s08_ml_ensemble.py","152"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\agent\modes\pipeline_mode.py","152"
".\src\agent\modes\pipeline_mode.py","152"
".\scripts\analysis\gd004_disp_rescale_probe.py","151"
".\src\research\exit_grid.py","151"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\features\dataset_validator.py","151"
".\build_zone_registry_from_trades.py","151"
".\src\bitnet\bitnet_runner.py","149"
".\src\core\signal_audit.py","149"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\signal_audit.py","149"
".\scripts\data\fetch_and_verify_binance.py","149"
".\src\core\decision_engine.py","148"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\governance\orchestrator.py","148"
".\scripts\data\fetch_and_verify_mt5.py","147"
